,0,1to3,4,8,11to12,9to10,5to7
0,1,274.1436,142.86165,128.03346,145.83633,191.961268,404.901912
1,1,279.88605,136.18526,103.57321,140.42097,187.289968,388.90557
2,1,274.301,135.9529,119.34459,139.93758,188.32731665016004,393.1744286562389
3,1,286.18365,148.54678,140.81206,152.42854,199.0305862910796,421.4743945029311
4,1,263.3227,137.69537,114.51773,136.2325,184.5827939859144,385.917236585518
5,1,272.37115,140.6862,125.96266000000001,144.16336,190.52776506616684,401.16417547644573
6,1,273.28042999999997,142.04903000000002,127.30333,145.2258,191.3880213928728,403.4835785083519
7,1,275.50397000000004,159.77713,149.27548000000002,151.89583000000002,199.67997797842364,426.6266821824261
8,1,291.6002,137.96132,112.47048999999998,142.20772,192.09098117736133,397.84430352132324
9,1,278.30933,122.73172,121.0173,135.7097,186.46150258433323,385.198247405556
10,1,281.40985,144.64928,143.71838,143.44908,195.99715137826345,411.68409659578884
11,1,265.85315,137.70468,105.053024,141.17436,184.6238666426735,387.20639358478877
12,1,272.40955,139.78366,124.48155,143.06153999999998,189.94014670073992,399.2061643130797
13,1,273.3416,141.35801999999998,126.03618,144.36497,190.92137446550007,401.9246600906043
14,1,276.51027999999997,143.00961,147.88765,155.9432,197.58010575997164,422.402653221402
15,1,283.03424,128.48138,106.361496,143.63396,187.75253688616456,390.21699112526636
16,1,279.26917000000003,136.51477,119.254135,135.39655,188.72065559181365,390.6534808601162
17,1,291.2908,138.44464,137.01332,137.16298,195.01192893752267,403.23356058209436
18,1,271.07715,137.1461,111.21695,140.51238999999998,186.60270244048573,390.1641805689474
19,1,273.6369,139.72615,124.28027,143.00755,190.1772293358331,399.37067558026433
